seq	wave	priority	lane	storefront_status	handle	title_en	product_url	draft_packet04	translation_mode	source_capture	translation_1to1	completeness_check	import_to_test	visual_qa	notes
11	Wave 02	P1	waxes	ACTIVE	ecosoya™-pillarblend-wax	EcoSoya™ PillarBlend Wax	https://aromawax.eu/products/ecosoya™-pillarblend-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
12	Wave 02	P1	waxes	ACTIVE	golden-waxtm-464-container-soy-wax	Golden Wax™ 464 Сontainer Wax	https://aromawax.eu/products/golden-waxtm-464-container-soy-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
13	Wave 02	P1	waxes	ACTIVE	golden-wax™-r45-сontainer-wax	Golden Wax™ R45+ Сontainer Wax	https://aromawax.eu/products/golden-wax™-r45-сontainer-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
14	Wave 02	P1	waxes	ACTIVE	golden-wax™-y50-wax-melts-wax	Golden Wax™ Y50 Wax Melts Wax	https://aromawax.eu/products/golden-wax™-y50-wax-melts-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
15	Wave 02	P1	waxes	ACTIVE	kerasoy™-pillar-wax-4120	KeraSoy™ Pillar Wax 4120	https://aromawax.eu/products/kerasoy™-pillar-wax-4120	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
16	Wave 02	P1	waxes	ACTIVE	naturewax™-c-3-container-soy-wax	NatureWax™ C-3 Container Soy Wax	https://aromawax.eu/products/naturewax™-c-3-container-soy-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
17	Wave 02	P1	wicks	ACTIVE	braded-cotton-wicks	Braded Cotton Wicks	https://aromawax.eu/products/braded-cotton-wicks	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Handle/title typo: Braded Cotton Wicks. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
18	Wave 02	P1	wicks	ACTIVE	wk-st-stabilo-series-cotton-wicks	Stabilo Series Cotton Wicks	https://aromawax.eu/products/wk-st-stabilo-series-cotton-wicks	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
19	Wave 02	P1	wicks	ACTIVE	tcr-series-cotton-wicks	TCR Series Cotton Wicks	https://aromawax.eu/products/tcr-series-cotton-wicks	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
20	Wave 03	P1	bases_additives	ACTIVE	augeo-diffuser-base	Augeo Diffuser Base	https://aromawax.eu/products/augeo-diffuser-base	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
21	Wave 03	P1	bases_additives	ACTIVE	solubilizer-polysorbate-20	Solubilizer Polysorbate 20	https://aromawax.eu/products/solubilizer-polysorbate-20	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
22	Wave 03	P1	bases_additives	ACTIVE	tefacid®-stearic-acid	Tefacid® Stearic Acid	https://aromawax.eu/products/tefacid®-stearic-acid	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
23	Wave 03	P1	reeds	ACTIVE	classic-reed-diffuser-bottles-100-ml	Classic Reed Diffuser Bottle with Cork and Cap, 100 ml	https://aromawax.eu/products/classic-reed-diffuser-bottles-100-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
24	Wave 03	P1	reeds	ACTIVE	classic-reed-diffuser-bottles-50-ml	Classic Reed Diffuser Bottle with Cork and Cap, 50 ml	https://aromawax.eu/products/classic-reed-diffuser-bottles-50-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
25	Wave 03	P1	reeds	ACTIVE	fiber-diffuser-reeds	Fiber Diffuser Reeds	https://aromawax.eu/products/fiber-diffuser-reeds	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
26	Wave 03	P1	reeds	ACTIVE	rattan-diffuser-reeds	Rattan Diffuser Reeds	https://aromawax.eu/products/rattan-diffuser-reeds	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 03 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-03-1to1-rewrite.md
27	Wave 04	P2	containers_packaging	ACTIVE	diffuser-bottle-and-metal-screw-cap-125-ml	Apothecary Diffuser Bottle and Metal Screw Cap, 125 ml	https://aromawax.eu/products/diffuser-bottle-and-metal-screw-cap-125-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
28	Wave 04	P2	containers_packaging	ACTIVE	apothecary-diffuser-bottle-and-metal-screw-cap-60-ml	Apothecary Diffuser Bottle and Metal Screw Cap, 60 ml	https://aromawax.eu/products/apothecary-diffuser-bottle-and-metal-screw-cap-60-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
29	Wave 04	P2	containers_packaging	ACTIVE	apothecary-room-spray-bottle-and-sprayer-125-ml	Apothecary Room Spray Bottle and Sprayer, 125 ml	https://aromawax.eu/products/apothecary-room-spray-bottle-and-sprayer-125-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
30	Wave 04	P2	containers_packaging	ACTIVE	rooom-spray-bottle-and-sprayer-60ml	Apothecary Room Spray Bottle and Sprayer, 60 ml	https://aromawax.eu/products/rooom-spray-bottle-and-sprayer-60ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Handle typo: rooom-spray. Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
31	Wave 04	P2	containers_packaging	ACTIVE	glass-jar-metal-screw-cap-200-ml	Glass Jar and Metal Screw Cap, 200 ml	https://aromawax.eu/products/glass-jar-metal-screw-cap-200-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
32	Wave 04	P2	containers_packaging	ACTIVE	metal-can-lid-200-ml	Metal Can and Lid, 200 ml	https://aromawax.eu/products/metal-can-lid-200-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
33	Wave 04	P2	containers_packaging	ACTIVE	metal-can-lid-500-ml	Metal Can and Lid, 500 ml	https://aromawax.eu/products/metal-can-lid-500-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
34	Wave 04	P2	containers_packaging	ACTIVE	metal-lever-lid-can-250-ml	Metal Lever-lid Can, 250 ml	https://aromawax.eu/products/metal-lever-lid-can-250-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
35	Wave 04	P2	containers_packaging	ACTIVE	metal-screw-cap-70mm	Metal Screw Cap, 70mm	https://aromawax.eu/products/metal-screw-cap-70mm	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Resolved 2026-04-16: live source description body aligned from 73 mm to 70 mm. Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
36	Wave 04	P2	containers_packaging	ACTIVE	metal-screw-cap-tin-10-ml	Metal Screw-cap Tin, 10 ml	https://aromawax.eu/products/metal-screw-cap-tin-10-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Resolved 2026-04-16: live source SEO title/description aligned from 100 ml to 10 ml. Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
37	Wave 04	P2	containers_packaging	ACTIVE	metal-screw-cap-tin-100-ml	Metal Screw-cap Tin, 100 ml	https://aromawax.eu/products/metal-screw-cap-tin-100-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
38	Wave 04	P2	containers_packaging	ACTIVE	room-spray-classic-bottle-125-ml	Room Spray Classic Bottle, 125 ml	https://aromawax.eu/products/room-spray-classic-bottle-125-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
39	Wave 04	P2	containers_packaging	ACTIVE	room-spray-classic-bottle-250-ml	Room Spray Classic Bottle, 250 ml	https://aromawax.eu/products/room-spray-classic-bottle-250-ml	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
40	Wave 04	P2	dyes	ACTIVE	vibrant-black-liquid-dye	Vibrant Black Liquid Dye	https://aromawax.eu/products/vibrant-black-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
41	Wave 04	P2	dyes	ACTIVE	vibrant-blue-liquid-dye	Vibrant Blue Liquid Dye	https://aromawax.eu/products/vibrant-blue-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
42	Wave 04	P2	dyes	ACTIVE	vibrant-brown-liquid-dye	Vibrant Brown Liquid Dye	https://aromawax.eu/products/vibrant-brown-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
43	Wave 04	P2	dyes	ACTIVE	vibrant-burgundy-liquid-dye	Vibrant Burgundy Liquid Dye	https://aromawax.eu/products/vibrant-burgundy-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
44	Wave 04	P2	dyes	ACTIVE	vibrant-green-liquid-dye	Vibrant Green Liquid Dye	https://aromawax.eu/products/vibrant-green-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
45	Wave 04	P2	dyes	ACTIVE	vibrant-magenta-liquid-dye	Vibrant Magenta Liquid Dye	https://aromawax.eu/products/vibrant-magenta-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
46	Wave 04	P2	dyes	ACTIVE	vibrant-navy-liquid-dye	Vibrant Navy Liquid Dye	https://aromawax.eu/products/vibrant-navy-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
47	Wave 04	P2	dyes	ACTIVE	vibrant-olive-green-liquid-dye	Vibrant Olive Green Liquid Dye	https://aromawax.eu/products/vibrant-olive-green-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Source SEO title contains double spacing before Olive Green. Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
48	Wave 04	P2	dyes	ACTIVE	vibrant-orange-liquid-dye	Vibrant Orange Liquid Dye	https://aromawax.eu/products/vibrant-orange-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
49	Wave 04	P2	dyes	ACTIVE	vibrant-purple-liquid-dye	Vibrant Purple Liquid Dye	https://aromawax.eu/products/vibrant-purple-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
50	Wave 04	P2	dyes	ACTIVE	vibrant-red-liquid-dye	Vibrant Red Liquid Dye	https://aromawax.eu/products/vibrant-red-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Source SEO title contains double spacing before Red. Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
51	Wave 04	P2	dyes	ACTIVE	vibrant-yellow-liquid-dye	Vibrant Yellow Liquid Dye	https://aromawax.eu/products/vibrant-yellow-liquid-dye	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 04 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-04-1to1-rewrite.md
52	Wave 05	P3	fragrance_oils	ACTIVE	agarwood-noble-incense-fragrance-oil	Agarwood & Noble Incense Fragrance Oil	https://aromawax.eu/products/agarwood-noble-incense-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
53	Wave 05	P3	fragrance_oils	ACTIVE	black-cherry-and-corsican-almond-fragrance-oil-1	Black Cherry and Corsican Almond Fragrance Oil	https://aromawax.eu/products/black-cherry-and-corsican-almond-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Handle uses -1 suffix. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
54	Wave 05	P3	fragrance_oils	ACTIVE	black-pepper-and-velvet-orchid-fragrance-oil	Black Pepper & Velvet Orchid Fragrance Oil	https://aromawax.eu/products/black-pepper-and-velvet-orchid-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
55	Wave 05	P3	fragrance_oils	ACTIVE	black-pepper-sandalwood-tonka-fragrance-oil	Black Pepper, Sandalwood and Tonka Fragrance Oil	https://aromawax.eu/products/black-pepper-sandalwood-tonka-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
56	Wave 05	P3	fragrance_oils	ACTIVE	by-the-fireside-fragrance-oil	By The Fireplace Fragrance Oil	https://aromawax.eu/products/by-the-fireside-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
57	Wave 05	P3	fragrance_oils	ACTIVE	cashmere-wood-and-tonka-fragrance-oil	Cashmere Wood & Tonka Fragrance Oil	https://aromawax.eu/products/cashmere-wood-and-tonka-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
58	Wave 05	P3	fragrance_oils	ACTIVE	christmas-hearth-fragrance-oil	Christmas Hearth Fragrance Oil	https://aromawax.eu/products/christmas-hearth-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
59	Wave 05	P3	fragrance_oils	ACTIVE	dubai-pistachio-cream-fragrance-oil	Dubai Pistachio Cream Fragrance Oil	https://aromawax.eu/products/dubai-pistachio-cream-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
60	Wave 05	P3	fragrance_oils	ACTIVE	fresh-cotton-and-green-tea-fragrance-oil	Fresh Cotton & Green Tea Fragrance Oil	https://aromawax.eu/products/fresh-cotton-and-green-tea-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
61	Wave 05	P3	fragrance_oils	ACTIVE	fresh-cut-grass-fragrance-oil	Fresh Cut Grass Fragrance Oil	https://aromawax.eu/products/fresh-cut-grass-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
62	Wave 05	P3	fragrance_oils	ACTIVE	fresh-cut-peony-fragrance-oil	Fresh Cut Peony Fragrance Oil	https://aromawax.eu/products/fresh-cut-peony-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
63	Wave 05	P3	fragrance_oils	ACTIVE	green-cardamom-eucalyptus-fragrance-oil	Green Cardamom & Eucalyptus Fragrance Oil	https://aromawax.eu/products/green-cardamom-eucalyptus-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
64	Wave 05	P3	fragrance_oils	ACTIVE	green-fig-and-wild-mushroom	Green Fig and Wild Mushroom Fragrance Oil	https://aromawax.eu/products/green-fig-and-wild-mushroom	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle omits -fragrance-oil suffix. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
65	Wave 05	P3	fragrance_oils	ACTIVE	kyoto-matcha-and-coconut-cloud-fragrance-oil	Kyoto Matcha & Coconut Cloud Fragrance Oil	https://aromawax.eu/products/kyoto-matcha-and-coconut-cloud-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
66	Wave 05	P3	fragrance_oils	ACTIVE	lavender-and-peppermint-fragrance-oil	Lavender & Peppermint Fragrance Oil	https://aromawax.eu/products/lavender-and-peppermint-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
67	Wave 05	P3	fragrance_oils	ACTIVE	lemongrass-and-honey-fragrance-oil	Lemongrass & Honey Fragrance Oil	https://aromawax.eu/products/lemongrass-and-honey-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
68	Wave 05	P3	fragrance_oils	ACTIVE	luscious-lime-and-basil-fragrance-oil	Luscious Lime & Basil Fragrance Oil	https://aromawax.eu/products/luscious-lime-and-basil-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
69	Wave 05	P3	fragrance_oils	ACTIVE	magnolia-and-peach-blossom-fragrance-oil	Magnolia & Peach Blossom Fragrance Oil	https://aromawax.eu/products/magnolia-and-peach-blossom-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
